id,name,price,expires
1,"Pasta - Lasagna Noodle, Frozen",4.54,01/23/2019
2,Turkey - Ground. Lean,4.47,03/12/2019
3,Bread Base - Italian,1.24,05/03/2019
4,Lotus Leaves,3.97,03/20/2019
5,Scallop - St. Jaques,3.16,01/30/2019
6,Tea - Apple Green Tea,2.37,07/08/2019
7,Bagelers - Cinn / Brown Sugar,2.31,06/27/2019
8,"Lemonade - Island Tea, 591 Ml",3.24,11/29/2019
9,Onions - Vidalia,4.11,11/25/2019
10,Figs,4.67,11/11/2019
11,Bread Crumbs - Panko,1.71,04/16/2019
12,Pork - Smoked Back Bacon,3.22,06/09/2019
13,Bread - White Epi Baguette,2.37,07/09/2019
14,Toamtoes 6x7 Select,3.05,03/19/2019
15,Tea - Mint,2.03,03/02/2019
16,Tomatoes Tear Drop,3.76,09/03/2019
17,Prunes - Pitted,2.66,02/25/2019
18,"Veal - Tenderloin, Untrimmed",3.43,02/28/2019
19,Anchovy Fillets,1.87,02/26/2019
20,Wine - Tribal Sauvignon,4.36,10/08/2019
21,Bread - Italian Sesame Poly,3.38,01/28/2019
22,Chips Potato All Dressed - 43g,4.45,07/17/2019
23,Wine - Ej Gallo Sonoma,2.17,09/17/2019
24,Trout - Smoked,1.42,09/14/2019
25,Magnotta - Bel Paese White,3.27,06/28/2019
26,"Salsify, Organic",2.16,08/10/2019
27,Pumpkin,4.66,06/12/2019
28,Beans - French,4.09,07/18/2019
29,Soup - Campbells - Tomato,3.87,08/19/2019
30,Bag Clear 10 Lb,1.79,10/31/2019
31,"Juice - Apple, 500 Ml",3.22,03/15/2019
32,Chocolate - Sugar Free Semi Choc,2.69,03/11/2019
33,Chicken - Ground,1.39,10/26/2019
34,Veal Inside - Provimi,1.53,01/21/2019
35,Onion - Dried,1.63,05/29/2019
36,Cumin - Whole,1.97,02/15/2019
37,"Apple - Delicious, Red",2.96,05/28/2019
38,Truffle Cups - Brown,1.04,12/22/2019
39,Aspic - Amber,4.36,07/05/2019
40,Icecream - Dstk Cml And Fdg,2.98,09/03/2019
